004150,한솔홀딩스,기타 금융업
004170,신세계,종합 소매업
004250,엔피씨,플라스틱제품 제조업
004270,남성,기타 전문 도매업
004310,현대약품,의약품 제조업
004360,세방,도로 화물 운송업
004370,농심,기타 식품 제조업
004380,삼익THK,일반 목적용 기계 제조업
004410,서울식품공업,기타 식품 제조업
004430,송원산업,기타 화학제품 제조업
004440,삼일씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업"
004450,삼화왕관,기타 금속 가공제품 제조업
004490,세방전지,일차전지 및 축전지 제조업
004540,깨끗한나라,"펄프, 종이 및 판지 제조업"
004560,현대비앤지스틸,1차 철강 제조업
004690,삼천리,연료용 가스 제조 및 배관공급업
004700,조광피혁,"가죽, 가방 및 유사제품 제조업"
004710,한솔테크닉스,전자부품 제조업
004720,우리들제약,의약품 제조업
004770,써니전자,반도체 제조업
004800,효성,기타 금융업
004830,덕성,플라스틱제품 제조업
004840,DRB동일,기타 금융업
004870,티웨이홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업"
004890,동일산업,1차 철강 제조업
004910,조광페인트,기타 화학제품 제조업
004920,씨아이테크,그외 기타 제품 제조업
004960,한신공영,건물 건설업
004970,신라교역,어로 어업
004980,성신양회,"시멘트, 석회, 플라스터 및 그 제품 제조업"
004990,롯데지주,기타 금융업
005010,휴스틸,1차 철강 제조업
005030,부산주공,자동차 신품 부품 제조업
005070,코스모신소재,기타 화학제품 제조업
005090,SGC에너지,전기업
005110,한창,기계장비 및 관련 물품 도매업
005180,빙그레,낙농제품 및 식용빙과류 제조업
005190,동성화학,기초 화학물질 제조업
005250,녹십자홀딩스,회사 본부 및 경영 컨설팅 서비스업
005300,롯데칠성음료,비알코올음료 및 얼음 제조업
005320,국동,생활용품 도매업
005360,모나미,생활용품 도매업
005380,현대자동차,자동차용 엔진 및 자동차 제조업
005390,신성통상,기타 전문 도매업
005420,코스모화학,기타 화학제품 제조업
005430,한국공항,기타 운송관련 서비스업
005440,현대그린푸드,종합 소매업
005490,포스코,1차 철강 제조업
005500,삼진제약,의약품 제조업
005610,SPC삼립,기타 식품 제조업
005680,삼영전자공업,전자부품 제조업
005690,파미셀,기초 의약물질 및 생물학적 제제 제조업
005720,넥센,고무제품 제조업
005740,크라운해태홀딩스,기타 금융업
005750,대림비앤코,"내화, 비내화 요업제품 제조업"
005800,신영와코루,봉제의복 제조업
005810,풍산홀딩스,기타 금융업
005820,원림,직물직조 및 직물제품 제조업
005830,DB손해보험,보험업
005850,에스엘,자동차 신품 부품 제조업
005870,휴니드테크놀러지스,통신 및 방송 장비 제조업
005880,대한해운,해상 운송업
005930,삼성전자,통신 및 방송 장비 제조업
005940,NH투자증권,금융 지원 서비스업
005950,이수화학,기초 화학물질 제조업
005960,동부건설,토목 건설업
006040,동원산업,어로 어업
006060,화승인더스트리,플라스틱제품 제조업
006090,사조오양,수산물 가공 및 저장 처리업
006110,삼아알미늄,1차 비철금속 제조업
006120,SK디스커버리,기타 금융업
006200,한국전자홀딩스,기타 금융업
006220,제주은행,은행 및 저축기관
006260,LS,기타 금융업
006280,녹십자,의약품 제조업
006340,대원전선,절연선 및 케이블 제조업
006360,GS건설,건물 건설업
006370,대구백화점,종합 소매업
006380,카프로,기초 화학물질 제조업
006390,한일현대시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
006400,삼성SDI,일차전지 및 축전지 제조업
006490,인스코비,전기 통신업
006570,대림통상,기타 금속 가공제품 제조업
006650,대한유화,기초 화학물질 제조업
006660,삼성공조,자동차 신품 부품 제조업
006740,영풍제지,"골판지, 종이 상자 및 종이용기 제조업"
006800,미래에셋대우,금융 지원 서비스업
006840,AK홀딩스,기타 금융업
006880,신송홀딩스,산업용 농·축산물 및 동·식물 도매업
006890,태경케미컬,기초 화학물질 제조업
006980,우성사료,"곡물가공품, 전분 및 전분제품 제조업"
007070,GS리테일,종합 소매업
007110,일신석재,"건축자재, 철물 및 난방장치 도매업"
007120,미래아이앤지,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
007160,사조산업,어로 어업
007210,벽산,기타 비금속 광물제품 제조업
007280,한국특수형강,1차 철강 제조업
007310,오뚜기,기타 식품 제조업
007340,디티알오토모티브,일차전지 및 축전지 제조업
007460,에이프로젠 KIC,기타 금속 가공제품 제조업
007540,샘표,기타 금융업
007570,일양약품,의약품 제조업
007590,동방아그로,"비료, 농약 및 살균, 살충제 제조업"
007610,선도전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
007630,폴루스바이오팜,상품 중개업
007660,이수페타시스,전자부품 제조업
007690,국도화학,기초 화학물질 제조업
007700,F&F,봉제의복 제조업
007810,코리아써키트,전자부품 제조업
007860,서연,기타 금융업
007980,태평양물산,봉제의복 제조업
008040,사조동아원,"곡물가공품, 전분 및 전분제품 제조업"
008060,대덕,기타 금융업
008110,대동전자,통신 및 방송 장비 제조업
008250,이건산업,나무제품 제조업
008260,NI스틸,1차 철강 제조업
008350,남선알미늄,1차 비철금속 제조업
008420,문배철강,1차 철강 제조업
008490,서흥,기타 화학제품 제조업
008500,일정실업,편조원단 제조업
008560,메리츠증권,금융 지원 서비스업
008600,윌비스,생활용품 도매업
008700,아남전자,영상 및 음향기기 제조업
008730,율촌화학,플라스틱제품 제조업
008770,호텔신라,기타 상품 전문 소매업
008870,금비,유리 및 유리제품 제조업
008930,한미사이언스,기타 금융업
008970,동양철관,1차 철강 제조업
009070,케이씨티시,도로 화물 운송업
009140,경인전자,전자부품 제조업
009150,삼성전기,전자부품 제조업
009160,SIMPAC,특수 목적용 기계 제조업
009180,한솔로지스틱스,기타 운송관련 서비스업
009190,대양금속,1차 철강 제조업
009200,무림페이퍼,"펄프, 종이 및 판지 제조업"
009240,한샘,생활용품 도매업
009270,신원,봉제의복 제조업
009290,광동제약,의약품 제조업
009310,참엔지니어링,특수 목적용 기계 제조업
009320,대우부품,자동차 신품 부품 제조업
009410,태영건설,토목 건설업
009420,한올바이오파마,의약품 제조업
009440,KC그린홀딩스,기타 금융업
009450,경동나비엔,가정용 기기 제조업
009460,한창제지,"펄프, 종이 및 판지 제조업"
009470,삼화전기,전자부품 제조업
009540,한국조선해양,선박 및 보트 건조업
009580,무림P&P,"펄프, 종이 및 판지 제조업"
009680,모토닉,자동차 신품 부품 제조업
009770,삼정펄프,"펄프, 종이 및 판지 제조업"
009810,엔케이물산,기타 전문 도매업
009830,한화솔루션,기초 화학물질 제조업
009900,명신산업,자동차 신품 부품 제조업
009970,영원무역홀딩스,기타 금융업
010040,한국내화,"내화, 비내화 요업제품 제조업"
010050,우리종금,기타 금융업
010060,OCI,기초 화학물질 제조업
010100,한국프랜지공업,자동차 신품 부품 제조업
010120,엘에스일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
010130,고려아연,1차 비철금속 제조업
010140,삼성중공업,선박 및 보트 건조업
010400,우진아이엔에스,건물설비 설치 공사업
010420,한솔피엔에스,기타 전문 도매업
010580,지코,자동차 신품 부품 제조업
010600,웰바이오텍,상품 중개업
010620,현대미포조선,선박 및 보트 건조업
010640,진양폴리우레탄,플라스틱제품 제조업
010660,화천기계,특수 목적용 기계 제조업
010690,화신,자동차 신품 부품 제조업
010770,평화홀딩스,자동차 신품 부품 제조업
010780,아이에스동서,"내화, 비내화 요업제품 제조업"
010820,퍼스텍,무기 및 총포탄 제조업
010950,S-Oil,석유 정제품 제조업
010960,삼호개발,기반조성 및 시설물 축조관련 전문공사업
011000,진원생명과학,의약품 제조업
011070,LG이노텍,전자부품 제조업
011090,에넥스,가구 제조업
011150,CJ씨푸드,기타 식품 제조업
011170,롯데케미칼,기초 화학물질 제조업
011200,HMM,해상 운송업
011210,현대위아,자동차 신품 부품 제조업
011230,삼화전자공업,영상 및 음향기기 제조업
011280,태림포장,"골판지, 종이 상자 및 종이용기 제조업"
011300,성안,직물직조 및 직물제품 제조업
011330,유니켐,"가죽, 가방 및 유사제품 제조업"
011390,부산산업,"시멘트, 석회, 플라스터 및 그 제품 제조업"
011420,갤럭시아에스엠,스포츠 서비스업
011500,한농화성,기타 화학제품 제조업
011690,유양디앤유,반도체 제조업
